localizador,longitud
"sao paulo SP, Brazil",-46.6333824
"são paulo SP, Brazil",-46.6333824
"sao bernardo do campo SP, Brazil",-46.5506747
"sao paulo RN, Brazil",-43.5179907
"jundiaí SP, Brazil",-46.884506
"sao paulo AC, Brazil",-71.5403595
"pirituba SP, Brazil",-46.7219385
"sao  paulo SP, Brazil",-46.6333824
"sao jose dos campos SP, Brazil",-45.8854538
"osasco SP, Brazil",-46.7916801
"carapicuiba SP, Brazil",-46.8406808
"carapicuíba SP, Brazil",-46.8406808
"barueri SP, Brazil",-46.8764612
"santana de parnaiba SP, Brazil",-46.9167722
"pirapora do bom jesus SP, Brazil",-47.0025661
"jandira SP, Brazil",-46.902003
"itapevi SP, Brazil",-46.933889
"cotia SP, Brazil",-46.918889
"vargem grande paulista SP, Brazil",-47.022038
"taboao da serra SP, Brazil",-46.7790539
"tabao da serra SP, Brazil",
"embu SP, Brazil",-46.8528497
"embu das artes SP, Brazil",-46.8528497
"itapecerica da serra SP, Brazil",-46.8492435
"sao lourenco da serra SP, Brazil",-46.9440587
"embu guacu SP, Brazil",-46.8156204
"cipo-guacu SP, Brazil",-46.79286099885715
"juquitiba SP, Brazil",-47.0714217
"guarulhos SP, Brazil",-46.5577226
"garulhos SP, Brazil",
"adamantina SP, Brazil",-51.0762975
"aruja SP, Brazil",-46.3175449
"arujá SP, Brazil",-46.3175449
"santa isabel SP, Brazil",-46.2271903
"mairipora SP, Brazil",-46.5866667
"caieiras SP, Brazil",-46.7484765
"mauá SP, Brazil",-46.4616922
"cajamar SP, Brazil",-46.8769444
"jordanesia SP, Brazil",-46.840337
"franco da rocha SP, Brazil",-46.724446
"francisco morato SP, Brazil",-46.7448996
"sao paluo SP, Brazil",
"ferraz de vasconcelos SP, Brazil",-46.37097
"ferraz de  vasconcelos SP, Brazil",-46.37097
"poa SP, Brazil",-46.3445663
"itaquaquecetuba SP, Brazil",-46.3514033
"suzano SP, Brazil",-46.3108391
"mogi das cruses SP, Brazil",
"mogi das cruzes SP, Brazil",-46.1926671
"guararema SP, Brazil",-46.0379249
"biritiba mirim SP, Brazil",-46.0407456
"salesopolis SP, Brazil",-45.84653
"nossa senhora do remedio SP, Brazil",-45.936890795
"santo andre SP, Brazil",-46.5279079
"santo andré SP, Brazil",-46.5279079
"sando andre SP, Brazil",
"maua SP, Brazil",-46.4616922
"ribeirao pires SP, Brazil",-46.4150871
"rio grande da serra SP, Brazil",-46.397084
"sao caetano do sul SP, Brazil",-46.5688323
"são bernardo do campo SP, Brazil",-46.5506747
"ao bernardo do campo SP, Brazil",
"diadema SP, Brazil",-46.62052
"santos SP, Brazil",-46.3286399
"caruara SP, Brazil",-46.1902379
"bertioga SP, Brazil",-46.139586
"sao vicente SP, Brazil",-46.3846595
"guaruja SP, Brazil",-46.2558332
"cubatao SP, Brazil",-46.4241869
"cubatão SP, Brazil",-46.4241869
"sao sebastiao SP, Brazil",-45.4070527
"sao francisco da praia SP, Brazil",-45.438090990300296
"maresias SP, Brazil",-45.557212435727976
"ilhabela SP, Brazil",-45.368685
"caraguatatuba SP, Brazil",-45.41306
"ubatuba SP, Brazil",-45.083415
"praia grande SP, Brazil",-46.402778
"mongagua SP, Brazil",-46.6234361
"itanhaem SP, Brazil",-46.7921572
"peruibe SP, Brazil",-46.9977452
"itariri SP, Brazil",-47.176151
"ana dias SP, Brazil",-47.066328053571425
"pedro de toledo SP, Brazil",-47.23393
"juquia SP, Brazil",-47.6355618
"miracatu SP, Brazil",-47.4535128
"registro SP, Brazil",-47.844895
"sete barras SP, Brazil",-47.9265798
"iguape SP, Brazil",-47.5563733
"ilha comprida SP, Brazil",-47.5525529
"pariquera-acu SP, Brazil",-47.8802361
"jacupiranga SP, Brazil",-48.0060639
"cajati SP, Brazil",-48.1077914
