state_sigla,city,localizador,latitud,longitud
SP,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
SP,são paulo,"são paulo SP, Brazil",-23.5506507,-46.6333824
SP,sao bernardo do campo,"sao bernardo do campo SP, Brazil",-23.7080345,-46.5506747
RN,sao paulo,"sao paulo RN, Brazil",-3.3215874,-43.5179907
SP,jundiaí,"jundiaí SP, Brazil",-23.1887668,-46.884506
AC,sao paulo,"sao paulo AC, Brazil",-8.0282333,-71.5403595
SP,pirituba,"pirituba SP, Brazil",-23.485533,-46.7219385
SP,sao  paulo,"sao  paulo SP, Brazil",-23.5506507,-46.6333824
SP,sao jose dos campos,"sao jose dos campos SP, Brazil",-23.1867782,-45.8854538
SP,osasco,"osasco SP, Brazil",-23.5324859,-46.7916801
SP,carapicuiba,"carapicuiba SP, Brazil",-23.5234673,-46.8406808
SP,carapicuíba,"carapicuíba SP, Brazil",-23.5234673,-46.8406808
SP,barueri,"barueri SP, Brazil",-23.5112184,-46.8764612
SP,santana de parnaiba,"santana de parnaiba SP, Brazil",-23.4446715,-46.9167722
SP,pirapora do bom jesus,"pirapora do bom jesus SP, Brazil",-23.3972146,-47.0025661
SP,jandira,"jandira SP, Brazil",-23.5282246,-46.902003
SP,itapevi,"itapevi SP, Brazil",-23.54888,-46.933889
SP,cotia,"cotia SP, Brazil",-23.603889,-46.918889
SP,vargem grande paulista,"vargem grande paulista SP, Brazil",-23.599338,-47.022038
SP,taboao da serra,"taboao da serra SP, Brazil",-23.6121912,-46.7790539
SP,tabao da serra,"tabao da serra SP, Brazil",,
SP,embu,"embu SP, Brazil",-23.6495294,-46.8528497
SP,embu das artes,"embu das artes SP, Brazil",-23.6495294,-46.8528497
SP,itapecerica da serra,"itapecerica da serra SP, Brazil",-23.7176303,-46.8492435
SP,sao lourenco da serra,"sao lourenco da serra SP, Brazil",-23.8535923,-46.9440587
SP,embu guacu,"embu guacu SP, Brazil",-23.8317997,-46.8156204
SP,cipo-guacu,"cipo-guacu SP, Brazil",-23.85703215,-46.79286099885715
SP,juquitiba,"juquitiba SP, Brazil",-23.932346,-47.0714217
SP,guarulhos,"guarulhos SP, Brazil",-23.4602288,-46.5577226
SP,garulhos,"garulhos SP, Brazil",,
SP,adamantina,"adamantina SP, Brazil",-21.6866517,-51.0762975
SP,aruja,"aruja SP, Brazil",-23.396266,-46.3175449
SP,arujá,"arujá SP, Brazil",-23.396266,-46.3175449
SP,santa isabel,"santa isabel SP, Brazil",-23.3194222,-46.2271903
SP,mairipora,"mairipora SP, Brazil",-23.3186111,-46.5866667
SP,caieiras,"caieiras SP, Brazil",-23.3644621,-46.7484765
SP,mauá,"mauá SP, Brazil",-23.6669527,-46.4616922
SP,cajamar,"cajamar SP, Brazil",-23.3561111,-46.8769444
SP,jordanesia,"jordanesia SP, Brazil",-23.3343981,-46.840337
SP,franco da rocha,"franco da rocha SP, Brazil",-23.3328038,-46.724446
SP,francisco morato,"francisco morato SP, Brazil",-23.2817308,-46.7448996
SP,sao paluo,"sao paluo SP, Brazil",,
SP,ferraz de vasconcelos,"ferraz de vasconcelos SP, Brazil",-23.541056,-46.37097
SP,ferraz de  vasconcelos,"ferraz de  vasconcelos SP, Brazil",-23.541056,-46.37097
SP,poa,"poa SP, Brazil",-23.5249082,-46.3445663
SP,itaquaquecetuba,"itaquaquecetuba SP, Brazil",-23.4754492,-46.3514033
SP,suzano,"suzano SP, Brazil",-23.5427842,-46.3108391
SP,mogi das cruses,"mogi das cruses SP, Brazil",,
SP,mogi das cruzes,"mogi das cruzes SP, Brazil",-23.5234284,-46.1926671
SP,guararema,"guararema SP, Brazil",-23.4133724,-46.0379249
SP,biritiba mirim,"biritiba mirim SP, Brazil",-23.5697765,-46.0407456
SP,salesopolis,"salesopolis SP, Brazil",-23.528805,-45.84653
SP,nossa senhora do remedio,"nossa senhora do remedio SP, Brazil",-23.53750565,-45.94537495253671
SP,santo andre,"santo andre SP, Brazil",-23.6533349,-46.5279079
SP,santo andré,"santo andré SP, Brazil",-23.6533349,-46.5279079
SP,sando andre,"sando andre SP, Brazil",,
SP,maua,"maua SP, Brazil",-23.6669527,-46.4616922
SP,ribeirao pires,"ribeirao pires SP, Brazil",-23.7129388,-46.4150871
SP,rio grande da serra,"rio grande da serra SP, Brazil",-23.743724,-46.397084
SP,sao caetano do sul,"sao caetano do sul SP, Brazil",-23.6195923,-46.5688323
SP,são bernardo do campo,"são bernardo do campo SP, Brazil",-23.7080345,-46.5506747
SP,ao bernardo do campo,"ao bernardo do campo SP, Brazil",,
SP,diadema,"diadema SP, Brazil",-23.681347,-46.62052
SP,santos,"santos SP, Brazil",-23.9335988,-46.3286399
SP,caruara,"caruara SP, Brazil",-23.8855781,-46.1902379
SP,bertioga,"bertioga SP, Brazil",-23.848568,-46.139586
SP,sao vicente,"sao vicente SP, Brazil",-23.9627118,-46.3846595
SP,guaruja,"guaruja SP, Brazil",-23.9927768,-46.2558332
SP,cubatao,"cubatao SP, Brazil",-23.8857982,-46.4241869
SP,cubatão,"cubatão SP, Brazil",-23.8857982,-46.4241869
SP,sao sebastiao,"sao sebastiao SP, Brazil",-23.8027866,-45.4070527
SP,sao francisco da praia,"sao francisco da praia SP, Brazil",-23.7504084,-45.438090990300296
SP,maresias,"maresias SP, Brazil",-23.7931139,-45.557212435727976
SP,ilhabela,"ilhabela SP, Brazil",-23.816628,-45.368685
SP,caraguatatuba,"caraguatatuba SP, Brazil",-23.62028,-45.41306
SP,ubatuba,"ubatuba SP, Brazil",-23.433162,-45.083415
SP,praia grande,"praia grande SP, Brazil",-24.005833,-46.402778
SP,mongagua,"mongagua SP, Brazil",-24.0959454,-46.6234361
SP,itanhaem,"itanhaem SP, Brazil",-24.1848847,-46.7921572
SP,peruibe,"peruibe SP, Brazil",-24.3218105,-46.9977452
SP,itariri,"itariri SP, Brazil",-24.2900711,-47.176151
SP,ana dias,"ana dias SP, Brazil",-24.2773727,-47.066328053571425
SP,pedro de toledo,"pedro de toledo SP, Brazil",-24.2769071,-47.23393
SP,juquia,"juquia SP, Brazil",-24.3172209,-47.6355618
SP,miracatu,"miracatu SP, Brazil",-24.2839078,-47.4535128
SP,registro,"registro SP, Brazil",-24.497942,-47.844895
SP,sete barras,"sete barras SP, Brazil",-24.3878438,-47.9265798
SP,iguape,"iguape SP, Brazil",-24.7042692,-47.5563733
SP,ilha comprida,"ilha comprida SP, Brazil",-24.7445292,-47.5525529
SP,pariquera-acu,"pariquera-acu SP, Brazil",-24.7146891,-47.8802361
SP,jacupiranga,"jacupiranga SP, Brazil",-24.703773,-48.0060639
SP,cajati,"cajati SP, Brazil",-24.7272376,-48.1077914
SP,barra do turvo,"barra do turvo SP, Brazil",-24.756421,-48.5056942
SP,eldorado,"eldorado SP, Brazil",-24.522583,-48.1093489
