zip_code_prefix,region_name,id_state,state_sigla,state_name,city,localizador,latitud_city,longitud_city,latitud_state,longitud_state
01001,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01002,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01003,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01004,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01005,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01006,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01007,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01008,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01009,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01010,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01011,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01012,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01013,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01014,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01015,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01016,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01017,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01018,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01019,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01020,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01021,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01022,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01023,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01024,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
01025,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824,-22.19,-48.79
