state_sigla,city,localizador,latitud
SP,sao paulo,"sao paulo SP, Brazil",-23.5506507
SP,são paulo,"são paulo SP, Brazil",-23.5506507
SP,sao bernardo do campo,"sao bernardo do campo SP, Brazil",-23.7080345
RN,sao paulo,"sao paulo RN, Brazil",-3.3215874
SP,jundiaí,"jundiaí SP, Brazil",-23.1887668
AC,sao paulo,"sao paulo AC, Brazil",-8.0282333
SP,pirituba,"pirituba SP, Brazil",-23.485533
SP,sao  paulo,"sao  paulo SP, Brazil",-23.5506507
SP,sao jose dos campos,"sao jose dos campos SP, Brazil",-23.1867782
SP,osasco,"osasco SP, Brazil",-23.5324859
SP,carapicuiba,"carapicuiba SP, Brazil",-23.5234673
SP,carapicuíba,"carapicuíba SP, Brazil",-23.5234673
SP,barueri,"barueri SP, Brazil",-23.5112184
SP,santana de parnaiba,"santana de parnaiba SP, Brazil",-23.4446715
SP,pirapora do bom jesus,"pirapora do bom jesus SP, Brazil",-23.3972146
SP,jandira,"jandira SP, Brazil",-23.5282246
SP,itapevi,"itapevi SP, Brazil",-23.54888
SP,cotia,"cotia SP, Brazil",-23.603889
SP,vargem grande paulista,"vargem grande paulista SP, Brazil",-23.599338
SP,taboao da serra,"taboao da serra SP, Brazil",-23.6121912
SP,tabao da serra,"tabao da serra SP, Brazil",
SP,embu,"embu SP, Brazil",-23.6495294
SP,embu das artes,"embu das artes SP, Brazil",-23.6495294
SP,itapecerica da serra,"itapecerica da serra SP, Brazil",-23.7176303
SP,sao lourenco da serra,"sao lourenco da serra SP, Brazil",-23.8535923
SP,embu guacu,"embu guacu SP, Brazil",-23.8317997
SP,cipo-guacu,"cipo-guacu SP, Brazil",-23.85703215
SP,juquitiba,"juquitiba SP, Brazil",-23.932346
SP,guarulhos,"guarulhos SP, Brazil",-23.4602288
SP,garulhos,"garulhos SP, Brazil",
SP,adamantina,"adamantina SP, Brazil",-21.6866517
SP,aruja,"aruja SP, Brazil",-23.396266
SP,arujá,"arujá SP, Brazil",-23.396266
SP,santa isabel,"santa isabel SP, Brazil",-23.3194222
SP,mairipora,"mairipora SP, Brazil",-23.3186111
SP,caieiras,"caieiras SP, Brazil",-23.3644621
SP,mauá,"mauá SP, Brazil",-23.6669527
SP,cajamar,"cajamar SP, Brazil",-23.3561111
SP,jordanesia,"jordanesia SP, Brazil",-23.3343981
SP,franco da rocha,"franco da rocha SP, Brazil",-23.3328038
SP,francisco morato,"francisco morato SP, Brazil",-23.2817308
SP,sao paluo,"sao paluo SP, Brazil",
SP,ferraz de vasconcelos,"ferraz de vasconcelos SP, Brazil",-23.541056
SP,ferraz de  vasconcelos,"ferraz de  vasconcelos SP, Brazil",-23.541056
SP,poa,"poa SP, Brazil",-23.5249082
SP,itaquaquecetuba,"itaquaquecetuba SP, Brazil",-23.4754492
SP,suzano,"suzano SP, Brazil",-23.5427842
SP,mogi das cruses,"mogi das cruses SP, Brazil",
SP,mogi das cruzes,"mogi das cruzes SP, Brazil",-23.5234284
SP,guararema,"guararema SP, Brazil",-23.4133724
SP,biritiba mirim,"biritiba mirim SP, Brazil",-23.5697765
SP,salesopolis,"salesopolis SP, Brazil",-23.528805
SP,nossa senhora do remedio,"nossa senhora do remedio SP, Brazil",-23.53750565
SP,santo andre,"santo andre SP, Brazil",-23.6533349
SP,santo andré,"santo andré SP, Brazil",-23.6533349
SP,sando andre,"sando andre SP, Brazil",
SP,maua,"maua SP, Brazil",-23.6669527
SP,ribeirao pires,"ribeirao pires SP, Brazil",-23.7129388
SP,rio grande da serra,"rio grande da serra SP, Brazil",-23.743724
SP,sao caetano do sul,"sao caetano do sul SP, Brazil",-23.6195923
SP,são bernardo do campo,"são bernardo do campo SP, Brazil",-23.7080345
SP,ao bernardo do campo,"ao bernardo do campo SP, Brazil",
SP,diadema,"diadema SP, Brazil",-23.681347
SP,santos,"santos SP, Brazil",-23.9335988
SP,caruara,"caruara SP, Brazil",-23.8855781
SP,bertioga,"bertioga SP, Brazil",-23.848568
SP,sao vicente,"sao vicente SP, Brazil",-23.9627118
SP,guaruja,"guaruja SP, Brazil",-23.9927768
SP,cubatao,"cubatao SP, Brazil",-23.8857982
SP,cubatão,"cubatão SP, Brazil",-23.8857982
SP,sao sebastiao,"sao sebastiao SP, Brazil",-23.8027866
SP,sao francisco da praia,"sao francisco da praia SP, Brazil",-23.7504084
SP,maresias,"maresias SP, Brazil",-23.7931139
SP,ilhabela,"ilhabela SP, Brazil",-23.816628
SP,caraguatatuba,"caraguatatuba SP, Brazil",-23.62028
SP,ubatuba,"ubatuba SP, Brazil",-23.433162
SP,praia grande,"praia grande SP, Brazil",-24.005833
SP,mongagua,"mongagua SP, Brazil",-24.0959454
SP,itanhaem,"itanhaem SP, Brazil",-24.1848847
SP,peruibe,"peruibe SP, Brazil",-24.3218105
SP,itariri,"itariri SP, Brazil",-24.2900711
SP,ana dias,"ana dias SP, Brazil",-24.2773727
SP,pedro de toledo,"pedro de toledo SP, Brazil",-24.2769071
SP,juquia,"juquia SP, Brazil",-24.3172209
SP,miracatu,"miracatu SP, Brazil",-24.2839078
SP,registro,"registro SP, Brazil",-24.497942
SP,sete barras,"sete barras SP, Brazil",-24.3878438
SP,iguape,"iguape SP, Brazil",-24.7042692
SP,ilha comprida,"ilha comprida SP, Brazil",-24.7445292
SP,pariquera-acu,"pariquera-acu SP, Brazil",-24.7146891
SP,jacupiranga,"jacupiranga SP, Brazil",-24.703773
