zip_code_prefix,region_name,id_state,state_sigla,state_name,city,geolocation_lat,geolocation_lng,localizador
01001,Sudeste,35,SP,São Paulo,sao paulo,-23.551426655288804,-46.63440979032252,"sao paulo SP, Brazil"
01002,Sudeste,35,SP,São Paulo,sao paulo,-23.548878451007027,-46.63636125131286,"sao paulo SP, Brazil"
01003,Sudeste,35,SP,São Paulo,sao paulo,-23.5490832616594,-46.63715701234924,"sao paulo SP, Brazil"
01004,Sudeste,35,SP,São Paulo,sao paulo,-23.550765432973616,-46.63537055343637,"sao paulo SP, Brazil"
01005,Sudeste,35,SP,São Paulo,sao paulo,-23.549980033585307,-46.6384109454671,"sao paulo SP, Brazil"
01006,Sudeste,35,SP,São Paulo,sao paulo,-23.55069564418031,-46.63669363835193,"sao paulo SP, Brazil"
01007,Sudeste,35,SP,São Paulo,sao paulo,-23.551083240637045,-46.63863497209885,"sao paulo SP, Brazil"
01008,Sudeste,35,SP,São Paulo,sao paulo,-23.5480135387212,-46.63709742838599,"sao paulo SP, Brazil"
01009,Sudeste,35,SP,São Paulo,sao paulo,-23.549074826533555,-46.6375916208613,"sao paulo SP, Brazil"
01010,Sudeste,35,SP,São Paulo,sao paulo,-23.547806958346342,-46.63612181853806,"sao paulo SP, Brazil"
01011,Sudeste,35,SP,São Paulo,sao paulo,-23.547639550320632,-46.63603162315495,"sao paulo SP, Brazil"
01012,Sudeste,35,SP,São Paulo,sao paulo,-23.54900820122337,-46.63536053788448,"sao paulo SP, Brazil"
01013,Sudeste,35,SP,São Paulo,sao paulo,-23.547686322234377,-46.63436151110851,"sao paulo SP, Brazil"
01014,Sudeste,35,SP,São Paulo,sao paulo,-23.547215717345587,-46.63409123397196,"sao paulo SP, Brazil"
01015,Sudeste,35,SP,São Paulo,sao paulo,-23.54956898779498,-46.63357615958799,"sao paulo SP, Brazil"
01016,Sudeste,35,SP,São Paulo,sao paulo,-23.54944327061568,-46.633490627676125,"sao paulo SP, Brazil"
01017,Sudeste,35,SP,São Paulo,sao paulo,-23.55015993031922,-46.63222267678466,"sao paulo SP, Brazil"
