zip_code_prefix,region_name,id_state,state_sigla,state_name,city,localizador,latitud,longitud
1001,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1307,Sudeste,35,SP,São Paulo,sao bernardo do campo,"sao bernardo do campo SP, Brazil",-23.7080345,-46.5506747
2116,Nordeste,24,RN,Rio Grande do Norte,sao paulo,"sao paulo RN, Brazil",-3.3215874,-43.5179907
3203,Sudeste,35,SP,São Paulo,jundiaí,"jundiaí SP, Brazil",-23.1887668,-46.884506
4011,Norte,12,AC,Acre,sao paulo,"sao paulo AC, Brazil",-8.0282333,-71.5403595
5141,Sudeste,35,SP,São Paulo,pirituba,"pirituba SP, Brazil",-23.485533,-46.7219385
5372,Sudeste,35,SP,São Paulo,sao jose dos campos,"sao jose dos campos SP, Brazil",-23.1867782,-45.8854538
6010,Sudeste,35,SP,São Paulo,osasco,"osasco SP, Brazil",-23.5324859,-46.7916801
6310,Sudeste,35,SP,São Paulo,carapicuiba,"carapicuiba SP, Brazil",-23.5234673,-46.8406808
6401,Sudeste,35,SP,São Paulo,barueri,"barueri SP, Brazil",-23.5112184,-46.8764612
6501,Sudeste,35,SP,São Paulo,santana de parnaiba,"santana de parnaiba SP, Brazil",-23.4446715,-46.9167722
6550,Sudeste,35,SP,São Paulo,pirapora do bom jesus,"pirapora do bom jesus SP, Brazil",-23.3972146,-47.0025661
6600,Sudeste,35,SP,São Paulo,jandira,"jandira SP, Brazil",-23.5282246,-46.902003
6650,Sudeste,35,SP,São Paulo,itapevi,"itapevi SP, Brazil",-23.54888,-46.933889
6700,Sudeste,35,SP,São Paulo,cotia,"cotia SP, Brazil",-23.603889,-46.918889
6730,Sudeste,35,SP,São Paulo,vargem grande paulista,"vargem grande paulista SP, Brazil",-23.599338,-47.022038
6753,Sudeste,35,SP,São Paulo,taboao da serra,"taboao da serra SP, Brazil",-23.6121912,-46.7790539
6803,Sudeste,35,SP,São Paulo,embu,"embu SP, Brazil",-23.6495294,-46.8528497
6850,Sudeste,35,SP,São Paulo,itapecerica da serra,"itapecerica da serra SP, Brazil",-23.7176303,-46.8492435
6890,Sudeste,35,SP,São Paulo,sao lourenco da serra,"sao lourenco da serra SP, Brazil",-23.8535923,-46.9440587
6900,Sudeste,35,SP,São Paulo,embu guacu,"embu guacu SP, Brazil",-23.8317997,-46.8156204
6930,Sudeste,35,SP,São Paulo,cipo-guacu,"cipo-guacu SP, Brazil",-23.85703215,-46.79286099885715
6950,Sudeste,35,SP,São Paulo,juquitiba,"juquitiba SP, Brazil",-23.932346,-47.0714217
7010,Sudeste,35,SP,São Paulo,guarulhos,"guarulhos SP, Brazil",-23.4602288,-46.5577226
7097,Sudeste,35,SP,São Paulo,adamantina,"adamantina SP, Brazil",-21.6866517,-51.0762975
7400,Sudeste,35,SP,São Paulo,aruja,"aruja SP, Brazil",-23.396266,-46.3175449
7500,Sudeste,35,SP,São Paulo,santa isabel,"santa isabel SP, Brazil",-23.3194222,-46.2271903
7600,Sudeste,35,SP,São Paulo,mairipora,"mairipora SP, Brazil",-23.3186111,-46.5866667
7700,Sudeste,35,SP,São Paulo,caieiras,"caieiras SP, Brazil",-23.3644621,-46.7484765
7705,Sudeste,35,SP,São Paulo,mauá,"mauá SP, Brazil",-23.6669527,-46.4616922
7750,Sudeste,35,SP,São Paulo,cajamar,"cajamar SP, Brazil",-23.3561111,-46.8769444
7760,Sudeste,35,SP,São Paulo,jordanesia,"jordanesia SP, Brazil",-23.3343981,-46.840337
7801,Sudeste,35,SP,São Paulo,franco da rocha,"franco da rocha SP, Brazil",-23.3328038,-46.724446
7901,Sudeste,35,SP,São Paulo,francisco morato,"francisco morato SP, Brazil",-23.2817308,-46.7448996
8500,Sudeste,35,SP,São Paulo,ferraz de vasconcelos,"ferraz de vasconcelos SP, Brazil",-23.541056,-46.37097
8550,Sudeste,35,SP,São Paulo,poa,"poa SP, Brazil",-23.5249082,-46.3445663
8570,Sudeste,35,SP,São Paulo,itaquaquecetuba,"itaquaquecetuba SP, Brazil",-23.4754492,-46.3514033
8610,Sudeste,35,SP,São Paulo,suzano,"suzano SP, Brazil",-23.5427842,-46.3108391
8715,Sudeste,35,SP,São Paulo,mogi das cruzes,"mogi das cruzes SP, Brazil",-23.5234284,-46.1926671
8900,Sudeste,35,SP,São Paulo,guararema,"guararema SP, Brazil",-23.4133724,-46.0379249
8940,Sudeste,35,SP,São Paulo,biritiba mirim,"biritiba mirim SP, Brazil",-23.5697765,-46.0407456
8970,Sudeste,35,SP,São Paulo,salesopolis,"salesopolis SP, Brazil",-23.528805,-45.84653
8980,Sudeste,35,SP,São Paulo,nossa senhora do remedio,"nossa senhora do remedio SP, Brazil",-23.53750565,-45.94537495253671
