zip_code_prefix,region_name,id_state,state_sigla,state_name,city,localizador,latitud,longitud
1001,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1002,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1003,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1004,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1005,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1006,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1007,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1008,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1009,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1010,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1011,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1012,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1013,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1014,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1015,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1016,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1017,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1018,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1019,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1020,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1021,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1022,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1023,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1024,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1025,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1026,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1027,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1028,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1029,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1030,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1031,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1032,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1033,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1034,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1035,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1036,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1037,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1038,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1039,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1040,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1041,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1042,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1043,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1044,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1045,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1046,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1047,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1048,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1049,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1050,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1101,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1102,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1103,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1104,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1105,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1106,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1107,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1108,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1109,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1120,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1121,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1122,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1123,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1124,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1125,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1126,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1127,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1128,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1129,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1130,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1131,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1132,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1133,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1134,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1135,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1136,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1137,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1138,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1139,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1140,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1141,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1142,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1144,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1150,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1151,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1152,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1153,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1154,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1155,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1156,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1189,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1200,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1201,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1202,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1203,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1204,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1205,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1206,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1207,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1208,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1209,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1210,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1211,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1212,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1213,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1214,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1215,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1216,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1217,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1218,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1219,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1220,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1221,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1222,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1223,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1224,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1225,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1226,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1227,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1228,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1229,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1230,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1231,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1232,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1233,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1234,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1235,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1236,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1237,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1238,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1239,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1240,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1241,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1242,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1243,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1244,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1245,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1246,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1247,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1248,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1249,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1250,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1251,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1252,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1253,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1254,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1255,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1256,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1257,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1258,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1259,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1262,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1301,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1302,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1303,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1304,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1305,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1306,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1308,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1309,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1310,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1311,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1312,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1313,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1314,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1315,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1316,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1317,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1318,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1319,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1320,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1321,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1322,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1323,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1324,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1325,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1326,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1327,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1328,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1329,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1330,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1331,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1332,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1333,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1401,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1402,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1403,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1404,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1405,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1406,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1407,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1408,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
1409,Sudeste,35,SP,São Paulo,sao paulo,"sao paulo SP, Brazil",-23.5506507,-46.6333824
